hotel_id;location;remaining_rooms;rating
122;Porto Alegre;25;1
123;Belém;18;1
124;Porto Alegre;17;2
125;Porto Alegre;36;1
126;São Paulo;39;2
127;Belém;43;5
128;Belém;39;2
129;Rio de Janeiro;16;1
130;Rio de Janeiro;45;1
131;Curitiba;10;3
132;Rio de Janeiro;10;1
133;São Paulo;15;2
134;São Paulo;16;2
135;São Paulo;26;1
136;Rio de Janeiro;50;2
137;Curitiba;30;3
138;Belém;50;2
139;Curitiba;25;3
140;Curitiba;30;1
141;São Paulo;25;1
142;Curitiba;15;1
143;São Paulo;20;2
144;Curitiba;33;3
145;Curitiba;39;1
146;Belém;26;1
147;São Paulo;46;5
148;Rio de Janeiro;50;2
149;Rio de Janeiro;44;1
150;Curitiba;40;2
151;Porto Alegre;43;1
152;Rio de Janeiro;31;1
153;Rio de Janeiro;45;1
154;São Paulo;37;1
155;Curitiba;11;2
156;Curitiba;41;1
157;Curitiba;50;1
158;Porto Alegre;45;2
159;Curitiba;39;3
160;São Paulo;36;2
161;Porto Alegre;13;1
162;Rio de Janeiro;35;2
163;Porto Alegre;40;2
164;Rio de Janeiro;12;2
165;Porto Alegre;46;1
166;Rio de Janeiro;36;1
167;Rio de Janeiro;10;1
168;Porto Alegre;24;1
169;Curitiba;15;1
170;São Paulo;42;2
171;Rio de Janeiro;47;1
172;Belém;46;1
173;Porto Alegre;38;4
174;Rio de Janeiro;46;2
175;Porto Alegre;33;1
176;Curitiba;30;1
177;Rio de Janeiro;21;1
178;Curitiba;10;3
179;Rio de Janeiro;48;5
180;São Paulo;42;1
181;São Paulo;20;3
182;Rio de Janeiro;23;2
183;Rio de Janeiro;14;1
184;São Paulo;45;1
185;Rio de Janeiro;38;1
186;Belém;21;1
187;Rio de Janeiro;45;2
188;Belém;33;2
189;Porto Alegre;36;2
190;Rio de Janeiro;26;2
191;Porto Alegre;38;2
192;Porto Alegre;33;2
193;Belém;22;2
194;Rio de Janeiro;46;2
195;Rio de Janeiro;47;1
196;Rio de Janeiro;41;2
197;Rio de Janeiro;38;1
198;Rio de Janeiro;20;1
199;Rio de Janeiro;13;2
200;Rio de Janeiro;20;2
201;Porto Alegre;39;2
202;Rio de Janeiro;50;1
203;São Paulo;21;1
204;Rio de Janeiro;13;1
205;Rio de Janeiro;49;1
206;Porto Alegre;45;1
207;Curitiba;32;4
208;Curitiba;19;4
209;Rio de Janeiro;40;3
210;Rio de Janeiro;38;2
211;Porto Alegre;48;2
212;São Paulo;39;1
213;Porto Alegre;45;1
214;Belém;40;1
215;São Paulo;18;2
216;Rio de Janeiro;28;1
217;Rio de Janeiro;34;4
218;Rio de Janeiro;45;1
219;Porto Alegre;15;2
220;Porto Alegre;24;2
221;Rio de Janeiro;18;4
222;Porto Alegre;15;2
223;Rio de Janeiro;34;2
224;Porto Alegre;36;2
225;Rio de Janeiro;46;1
226;Rio de Janeiro;40;1
227;Rio de Janeiro;11;2
228;Belém;18;2
229;Rio de Janeiro;42;2
230;Curitiba;38;3
231;Belém;27;1
232;Curitiba;15;2
233;Curitiba;44;1
234;Rio de Janeiro;48;1
235;Rio de Janeiro;47;1
236;Curitiba;13;2
237;Porto Alegre;21;4
238;Belém;21;1
239;Porto Alegre;50;4
240;Rio de Janeiro;48;1
241;São Paulo;50;1
242;Belém;17;1
243;São Paulo;32;3
244;Porto Alegre;43;2
245;Porto Alegre;37;1
246;Rio de Janeiro;47;4
247;Belém;34;1
248;Porto Alegre;21;3
249;Porto Alegre;41;1
250;São Paulo;13;1
251;Belém;14;2
252;Rio de Janeiro;45;4
253;Rio de Janeiro;33;2
254;Belém;32;2
255;Rio de Janeiro;20;2
256;Curitiba;32;1
257;Curitiba;24;2
258;Curitiba;40;1
259;Belém;42;2
260;São Paulo;37;3
261;Rio de Janeiro;21;1
262;Curitiba;50;1
263;Rio de Janeiro;25;1
264;São Paulo;19;2
265;Curitiba;11;1
266;Rio de Janeiro;17;2
267;Porto Alegre;49;2
268;Belém;23;4
269;Curitiba;38;1
270;Rio de Janeiro;42;3
271;Rio de Janeiro;47;4
272;São Paulo;27;2
273;Rio de Janeiro;35;2
274;São Paulo;36;2
275;Curitiba;13;2
276;Porto Alegre;10;1
277;São Paulo;30;1
278;Rio de Janeiro;26;1
279;Rio de Janeiro;28;3
280;São Paulo;45;1
281;São Paulo;47;2
282;Curitiba;29;2
283;Porto Alegre;22;1
284;Rio de Janeiro;35;1
285;São Paulo;33;1
286;Rio de Janeiro;35;1
287;Porto Alegre;46;1
288;Rio de Janeiro;49;1
289;Belém;26;1
290;Porto Alegre;45;3
291;Rio de Janeiro;20;1
292;Rio de Janeiro;38;1
293;Rio de Janeiro;14;4
294;Porto Alegre;11;2
295;Rio de Janeiro;40;1
296;Rio de Janeiro;17;2
297;Rio de Janeiro;15;1
298;Rio de Janeiro;17;4
299;São Paulo;36;1
300;Belém;38;2
301;São Paulo;12;1
302;Rio de Janeiro;34;1
303;Rio de Janeiro;12;2
304;São Paulo;23;1
305;Rio de Janeiro;22;4
306;Rio de Janeiro;33;1
307;Rio de Janeiro;48;2
308;São Paulo;16;2
309;Rio de Janeiro;30;1
310;Rio de Janeiro;33;2
311;Rio de Janeiro;31;1
312;Curitiba;16;1
313;Porto Alegre;50;3
314;Porto Alegre;36;2
315;Curitiba;44;3
316;Rio de Janeiro;38;3
317;Rio de Janeiro;44;1
318;Porto Alegre;17;2
319;Curitiba;28;1
320;Curitiba;31;2
321;Belém;15;1
322;São Paulo;13;1
323;Porto Alegre;36;1
324;Curitiba;35;2
325;Porto Alegre;36;1
326;São Paulo;28;2
327;Rio de Janeiro;24;2
328;Belém;16;2
329;Porto Alegre;12;3
330;Porto Alegre;22;2
331;Belém;12;1
332;Rio de Janeiro;14;2
333;Rio de Janeiro;15;3
334;Rio de Janeiro;29;3
335;Rio de Janeiro;28;2
336;Porto Alegre;47;4
337;Curitiba;13;1
338;Belém;21;1
339;Curitiba;50;2
340;São Paulo;41;1
341;Curitiba;42;2
342;Rio de Janeiro;40;1
343;Curitiba;39;2
344;Rio de Janeiro;33;1
345;Rio de Janeiro;25;1
346;Rio de Janeiro;40;2
347;Porto Alegre;20;1
348;Porto Alegre;21;1
349;Rio de Janeiro;32;1
350;Porto Alegre;12;4
351;São Paulo;37;2
352;Rio de Janeiro;17;1
353;Rio de Janeiro;42;1
354;Porto Alegre;32;2
355;São Paulo;31;1
356;Rio de Janeiro;48;2
357;Rio de Janeiro;32;3
358;Rio de Janeiro;15;1
359;Rio de Janeiro;17;1
360;Belém;10;2
361;Belém;11;2
362;São Paulo;37;1
363;São Paulo;36;1
364;Rio de Janeiro;34;1
365;Curitiba;45;1
366;Porto Alegre;20;5
367;Rio de Janeiro;12;5
368;Rio de Janeiro;33;2
369;Porto Alegre;20;2
370;Curitiba;15;2
371;Porto Alegre;10;3
372;Rio de Janeiro;44;1
373;Rio de Janeiro;28;3
374;São Paulo;42;3
375;Porto Alegre;16;2
376;Rio de Janeiro;35;4
377;Porto Alegre;40;1
378;Porto Alegre;21;2
379;São Paulo;14;3
380;São Paulo;41;1
381;Rio de Janeiro;30;2
382;Curitiba;31;2
383;Rio de Janeiro;18;1
384;Rio de Janeiro;42;5
385;Belém;27;2
386;Curitiba;16;1
387;Porto Alegre;32;2
388;Curitiba;22;2
389;Rio de Janeiro;45;3
390;Rio de Janeiro;46;2
391;Porto Alegre;40;1
392;Porto Alegre;19;2
393;São Paulo;14;2
394;Curitiba;27;3
395;Rio de Janeiro;25;1
396;Rio de Janeiro;12;1
397;Rio de Janeiro;25;2
398;Rio de Janeiro;20;2
399;Curitiba;12;1
400;Porto Alegre;14;2
401;Rio de Janeiro;42;4
402;São Paulo;46;1
403;Rio de Janeiro;12;1
404;Rio de Janeiro;35;2
405;Porto Alegre;10;1
406;Rio de Janeiro;41;1
407;Rio de Janeiro;14;2
408;Curitiba;43;1
409;Belém;50;1
410;Rio de Janeiro;11;1
411;Rio de Janeiro;29;2
412;Rio de Janeiro;39;1
413;Curitiba;24;1
414;São Paulo;40;1
415;Porto Alegre;26;1
416;Rio de Janeiro;36;2
417;Curitiba;20;1
418;Porto Alegre;43;3
419;Rio de Janeiro;24;3
420;Belém;13;1
421;Rio de Janeiro;39;1
422;Rio de Janeiro;18;1
423;Curitiba;41;1
424;Porto Alegre;18;2
425;Belém;44;1
426;São Paulo;13;4
427;Rio de Janeiro;15;2
428;Belém;33;3
429;Rio de Janeiro;22;2
430;Rio de Janeiro;48;1
431;Porto Alegre;41;2
432;Rio de Janeiro;50;2
433;São Paulo;21;1
434;Rio de Janeiro;15;1
435;Rio de Janeiro;26;1
436;Curitiba;38;1
437;Porto Alegre;31;1
438;Porto Alegre;27;3
439;Curitiba;35;1
440;Belém;24;1
441;Rio de Janeiro;19;1
442;Rio de Janeiro;18;1
443;Rio de Janeiro;20;2
444;Belém;30;4
445;Rio de Janeiro;47;1
446;Porto Alegre;27;3
447;Porto Alegre;38;1
448;São Paulo;49;2
449;Rio de Janeiro;39;3
450;Rio de Janeiro;21;1
451;Curitiba;43;2
452;Rio de Janeiro;43;1
453;Porto Alegre;27;1
454;Rio de Janeiro;23;1
455;São Paulo;38;1
456;Rio de Janeiro;26;1
457;Rio de Janeiro;44;1
458;São Paulo;17;2
459;São Paulo;31;1
460;Curitiba;27;2
461;Rio de Janeiro;16;3
462;Belém;33;1
463;Curitiba;20;1
464;Porto Alegre;16;5
465;São Paulo;12;2
466;Rio de Janeiro;47;2
467;Porto Alegre;10;1
468;Rio de Janeiro;28;2
469;Porto Alegre;45;2
470;Porto Alegre;48;2
471;Rio de Janeiro;46;2
472;Porto Alegre;45;3
473;Curitiba;24;2
474;Rio de Janeiro;22;1
475;Porto Alegre;13;2
476;Rio de Janeiro;42;1
477;Porto Alegre;46;1
478;Rio de Janeiro;29;2
479;Belém;22;3
480;Porto Alegre;31;2
481;Porto Alegre;38;1
482;Curitiba;37;1
483;Rio de Janeiro;37;4
484;São Paulo;11;2
485;Rio de Janeiro;34;1
486;Rio de Janeiro;47;2
487;Porto Alegre;12;1
488;Belém;40;5
489;Curitiba;35;1
490;Porto Alegre;29;2
491;Rio de Janeiro;37;5
492;Curitiba;47;3
493;Porto Alegre;21;2
494;Curitiba;48;1
495;Porto Alegre;10;2
496;Rio de Janeiro;23;4
497;Porto Alegre;39;2
498;Belém;40;1
499;Porto Alegre;28;4
500;Porto Alegre;30;2
501;Rio de Janeiro;45;2
502;Porto Alegre;21;1
503;Porto Alegre;46;4
504;Curitiba;18;1
505;Belém;50;4
506;São Paulo;13;2
507;Curitiba;16;2
508;Curitiba;38;2
509;Rio de Janeiro;42;1
510;Rio de Janeiro;36;1
511;São Paulo;41;1
512;Belém;27;3
513;Porto Alegre;11;1
514;Rio de Janeiro;28;1
515;Belém;36;2
516;Rio de Janeiro;16;1
517;Rio de Janeiro;32;1
518;Rio de Janeiro;18;4
519;São Paulo;33;2
520;São Paulo;44;2
521;Curitiba;31;1
522;Rio de Janeiro;43;2
523;Belém;48;1
524;Rio de Janeiro;22;1
525;Rio de Janeiro;48;2
526;Rio de Janeiro;26;1
527;Curitiba;16;1
528;Porto Alegre;16;3
529;Curitiba;20;2
530;Rio de Janeiro;35;2
531;Curitiba;24;1
532;São Paulo;48;4
533;Rio de Janeiro;42;2
534;São Paulo;42;2
535;Curitiba;27;1
536;Porto Alegre;41;4
537;Rio de Janeiro;29;1
538;São Paulo;20;2
539;São Paulo;16;4
540;Rio de Janeiro;41;3
541;Rio de Janeiro;41;1
542;São Paulo;18;1
543;Porto Alegre;39;1
544;Belém;32;2
545;Porto Alegre;15;1
546;Porto Alegre;33;1
547;Porto Alegre;22;1
548;Porto Alegre;44;1
549;São Paulo;46;2
550;Porto Alegre;22;2
551;São Paulo;49;1
552;São Paulo;30;1
553;Rio de Janeiro;23;1
554;Porto Alegre;13;2
555;Rio de Janeiro;20;1
556;Porto Alegre;36;1
557;São Paulo;15;1
558;São Paulo;32;2
559;Rio de Janeiro;27;2
560;Rio de Janeiro;37;3
561;Rio de Janeiro;39;1
562;Rio de Janeiro;18;1
563;São Paulo;32;4
564;Porto Alegre;28;1
565;São Paulo;22;1
566;Rio de Janeiro;11;5
567;Curitiba;12;4
568;Rio de Janeiro;34;2
569;Rio de Janeiro;48;1
570;Rio de Janeiro;28;4
571;Rio de Janeiro;42;2
572;Rio de Janeiro;35;1
573;São Paulo;21;1
574;Belém;25;3
575;Curitiba;50;1
576;Porto Alegre;27;2
577;Rio de Janeiro;48;1
578;Rio de Janeiro;13;2
579;Belém;26;5
580;Belém;33;1
581;Porto Alegre;26;2
582;Rio de Janeiro;17;1
583;São Paulo;35;1
584;Porto Alegre;13;1
585;Rio de Janeiro;23;3
586;Porto Alegre;43;2
587;Rio de Janeiro;43;2
588;Porto Alegre;19;2
589;São Paulo;14;1
590;Rio de Janeiro;27;2
591;Porto Alegre;11;2
592;Rio de Janeiro;21;1
593;Porto Alegre;39;1
594;Rio de Janeiro;38;1
595;Porto Alegre;39;1
596;Rio de Janeiro;29;1
597;Porto Alegre;32;1
598;Curitiba;13;2
599;Porto Alegre;25;3
600;Rio de Janeiro;29;4
601;Rio de Janeiro;11;2
602;Rio de Janeiro;25;1
603;Curitiba;16;1
604;Rio de Janeiro;21;1
605;Rio de Janeiro;32;1
606;Porto Alegre;35;3
607;São Paulo;32;2
608;Rio de Janeiro;28;1
609;Porto Alegre;29;4
610;Curitiba;32;1
611;Belém;29;1
612;São Paulo;29;2
613;Curitiba;38;1
614;Belém;45;2
615;Porto Alegre;21;2
616;Rio de Janeiro;23;2
617;Curitiba;21;1
618;São Paulo;19;1
619;Rio de Janeiro;14;2
620;Curitiba;28;1
621;Rio de Janeiro;47;2
622;Porto Alegre;16;1
623;Belém;27;1
624;Porto Alegre;19;1
625;Belém;27;1
626;São Paulo;31;3
627;Rio de Janeiro;46;3
628;Rio de Janeiro;12;1
629;Porto Alegre;15;1
630;Belém;28;1
631;Porto Alegre;13;1
632;Rio de Janeiro;45;2
633;Porto Alegre;26;1
634;Rio de Janeiro;41;4
635;Curitiba;13;2
636;São Paulo;23;1
637;Rio de Janeiro;49;1
638;Curitiba;33;1
639;Rio de Janeiro;29;2
640;Rio de Janeiro;45;1
641;Rio de Janeiro;43;1
642;Porto Alegre;40;2
643;Belém;15;2
644;Curitiba;40;3
645;Rio de Janeiro;46;2
646;Rio de Janeiro;48;1
647;Porto Alegre;16;1
648;São Paulo;38;1
649;Porto Alegre;41;3
650;Porto Alegre;30;1
651;Curitiba;39;1
652;Porto Alegre;23;4
653;Belém;44;2
654;Curitiba;12;5
655;Rio de Janeiro;45;1
656;Rio de Janeiro;34;2
657;Rio de Janeiro;32;2
658;Rio de Janeiro;27;1
659;São Paulo;46;1
660;São Paulo;15;2
661;Belém;35;1
662;Rio de Janeiro;22;1
663;Porto Alegre;17;2
664;Porto Alegre;14;1
665;Belém;25;1
666;Rio de Janeiro;30;1
667;Rio de Janeiro;38;2
668;Porto Alegre;38;1
669;Rio de Janeiro;18;2
670;Rio de Janeiro;50;2
671;Rio de Janeiro;50;3
672;Curitiba;48;1
673;Belém;21;3
674;Rio de Janeiro;14;2
675;São Paulo;19;2
676;Rio de Janeiro;28;1
677;Porto Alegre;29;5
678;Rio de Janeiro;41;1
679;São Paulo;33;1
680;Curitiba;24;2
681;Rio de Janeiro;28;4
682;Curitiba;49;1
683;Curitiba;38;4
684;Belém;17;1
685;Porto Alegre;13;5
686;Belém;22;4
687;Rio de Janeiro;23;1
688;Porto Alegre;19;1
689;Belém;43;2
690;Rio de Janeiro;43;3
691;Belém;36;1
692;Porto Alegre;37;1
693;Curitiba;34;1
694;Rio de Janeiro;23;1
695;São Paulo;50;2
696;Rio de Janeiro;23;1
697;Rio de Janeiro;23;1
698;Curitiba;20;1
699;Porto Alegre;27;1
700;Rio de Janeiro;14;1
701;Rio de Janeiro;10;3
702;São Paulo;17;1
703;São Paulo;17;1
704;Porto Alegre;11;2
705;Porto Alegre;45;1
706;Belém;13;1
707;Curitiba;23;3
708;Belém;39;2
709;Rio de Janeiro;48;2
710;Rio de Janeiro;26;2
711;Curitiba;13;3
712;Rio de Janeiro;25;3
713;Rio de Janeiro;36;2
714;Porto Alegre;31;1
715;Belém;30;1
716;Rio de Janeiro;14;1
717;Porto Alegre;31;2
718;Curitiba;18;1
719;Curitiba;10;1
720;Belém;48;3
721;São Paulo;33;2
722;Rio de Janeiro;14;1
723;Rio de Janeiro;20;2
724;Porto Alegre;48;3
725;Rio de Janeiro;45;1
726;Rio de Janeiro;28;1
727;Rio de Janeiro;43;2
728;Curitiba;40;2
729;Rio de Janeiro;38;1
730;Belém;34;1
731;Curitiba;32;1
732;Rio de Janeiro;33;1
733;Belém;24;1
734;Curitiba;35;3
735;Rio de Janeiro;26;3
736;Rio de Janeiro;29;1
737;Curitiba;23;1
738;Rio de Janeiro;40;1
739;Porto Alegre;47;3
740;Rio de Janeiro;50;1
741;Curitiba;43;3
742;Porto Alegre;41;1
743;Rio de Janeiro;12;2
744;São Paulo;20;1
745;Curitiba;20;5
746;Porto Alegre;47;1
747;Curitiba;16;2
748;Rio de Janeiro;21;3
749;Curitiba;48;1
750;Curitiba;33;3
751;Curitiba;30;2
752;São Paulo;40;4
753;Porto Alegre;23;1
754;Rio de Janeiro;42;1
755;Belém;26;2
756;São Paulo;19;2
757;Porto Alegre;44;4
758;Porto Alegre;49;2
759;Rio de Janeiro;19;2
760;Porto Alegre;34;1
761;Rio de Janeiro;25;1
762;Curitiba;25;3
763;Rio de Janeiro;28;2
764;Rio de Janeiro;15;2
765;Rio de Janeiro;16;5
766;Rio de Janeiro;40;1
767;Porto Alegre;49;3
768;Curitiba;23;3
769;Rio de Janeiro;34;1
770;Rio de Janeiro;15;1
771;Curitiba;49;2
772;Rio de Janeiro;47;4
773;Rio de Janeiro;46;1
774;Rio de Janeiro;25;3
775;Curitiba;30;1
776;Belém;32;4
777;Rio de Janeiro;24;1
778;Rio de Janeiro;36;1
779;Rio de Janeiro;19;1
780;Rio de Janeiro;42;2
781;Curitiba;15;1
782;Belém;13;2
783;Curitiba;44;1
784;Rio de Janeiro;17;1
785;Curitiba;31;3
786;Belém;48;1
787;Rio de Janeiro;23;1
788;Rio de Janeiro;28;1
789;Rio de Janeiro;12;1
790;Curitiba;38;2
791;Belém;11;3
792;Rio de Janeiro;15;2
793;Curitiba;48;1
794;Curitiba;35;2
795;São Paulo;29;1
796;Rio de Janeiro;45;1
797;Rio de Janeiro;11;1
798;Rio de Janeiro;38;4
799;Belém;39;1
800;Rio de Janeiro;38;2
801;Rio de Janeiro;25;2
802;Curitiba;29;1
803;Rio de Janeiro;21;2
804;Porto Alegre;32;1
805;Rio de Janeiro;29;1
806;Porto Alegre;45;1
807;Rio de Janeiro;10;2
808;Curitiba;20;1
809;São Paulo;32;1
810;Rio de Janeiro;49;1
811;Rio de Janeiro;10;3
812;Porto Alegre;27;1
813;Belém;25;2
814;Curitiba;45;3
815;Curitiba;13;2
816;Curitiba;29;5
817;São Paulo;23;2
818;São Paulo;21;3
819;São Paulo;26;1
820;Porto Alegre;50;5
821;Curitiba;45;1
822;Rio de Janeiro;32;2
823;Porto Alegre;43;1
824;Rio de Janeiro;19;3
825;Rio de Janeiro;43;1
826;Rio de Janeiro;29;1
827;Porto Alegre;19;1
828;Curitiba;38;1
829;São Paulo;17;4
830;Porto Alegre;19;2
831;Belém;23;4
832;Belém;17;1
833;Curitiba;27;2
834;Porto Alegre;14;4
835;Rio de Janeiro;40;2
836;Rio de Janeiro;40;1
837;Rio de Janeiro;12;2
838;São Paulo;45;1
839;Belém;30;1
840;Porto Alegre;35;2
841;Rio de Janeiro;11;1
842;Porto Alegre;49;1
843;Rio de Janeiro;19;2
844;Rio de Janeiro;11;2
845;São Paulo;11;1
846;Porto Alegre;23;1
847;Rio de Janeiro;49;1
848;Porto Alegre;25;1
849;Rio de Janeiro;38;1
850;São Paulo;42;2
851;Curitiba;24;2
852;São Paulo;45;1
853;Rio de Janeiro;24;2
854;Rio de Janeiro;11;1
855;Rio de Janeiro;45;4
856;São Paulo;10;3
857;São Paulo;14;1
858;Belém;32;1
859;Curitiba;44;2
860;Porto Alegre;25;1
861;Curitiba;41;2
862;Belém;41;2
863;Porto Alegre;12;4
864;Curitiba;37;2
865;Curitiba;38;1
866;São Paulo;44;2
867;Belém;27;2
868;Rio de Janeiro;34;1
869;Porto Alegre;31;1
870;Belém;48;1
871;Rio de Janeiro;50;3
872;Rio de Janeiro;21;1
873;Rio de Janeiro;19;1
874;São Paulo;20;2
875;Rio de Janeiro;50;2
876;Curitiba;25;1
877;Rio de Janeiro;42;1
878;Rio de Janeiro;48;1
879;São Paulo;20;3
880;Porto Alegre;20;2
881;Rio de Janeiro;20;4
882;Rio de Janeiro;19;5
883;Rio de Janeiro;32;1
884;Belém;25;1
885;Rio de Janeiro;37;3
886;Rio de Janeiro;46;2
887;Porto Alegre;28;3
888;Rio de Janeiro;18;1
889;Porto Alegre;21;2
890;Belém;31;3
891;Porto Alegre;44;1
892;Curitiba;38;2
893;Porto Alegre;10;1
894;Rio de Janeiro;32;1
895;Rio de Janeiro;34;2
896;Porto Alegre;25;1
897;Rio de Janeiro;12;1
898;Rio de Janeiro;16;1
899;Porto Alegre;11;2
900;Porto Alegre;50;5
901;Rio de Janeiro;15;3
902;Rio de Janeiro;15;4
903;Rio de Janeiro;28;1
904;Curitiba;13;1
905;Belém;39;5
906;Porto Alegre;17;1
907;Porto Alegre;39;1
908;Curitiba;16;1
909;Rio de Janeiro;42;3
910;São Paulo;45;1
911;Porto Alegre;28;4
912;Rio de Janeiro;50;1
913;Rio de Janeiro;29;2
914;Porto Alegre;44;1
915;Belém;21;1
916;São Paulo;14;1
917;Curitiba;20;1
918;Porto Alegre;34;1
919;Porto Alegre;48;2
920;Rio de Janeiro;32;2
921;Rio de Janeiro;21;2
922;São Paulo;49;1
923;Rio de Janeiro;33;1
924;Rio de Janeiro;21;2
925;Porto Alegre;19;1
926;Rio de Janeiro;12;2
927;Rio de Janeiro;36;2
928;Rio de Janeiro;12;2
929;São Paulo;37;4
930;Porto Alegre;21;1
931;Rio de Janeiro;45;4
932;São Paulo;19;1
933;Curitiba;34;1
934;Rio de Janeiro;23;4
935;Rio de Janeiro;10;1
936;Rio de Janeiro;44;2
937;Porto Alegre;46;3
938;Rio de Janeiro;25;1
939;Rio de Janeiro;44;1
940;Curitiba;31;2
941;Rio de Janeiro;28;3
942;Rio de Janeiro;20;1
943;Porto Alegre;49;1
944;Rio de Janeiro;24;1
945;Porto Alegre;40;1
946;Rio de Janeiro;43;4
947;Rio de Janeiro;14;2
948;Rio de Janeiro;27;2
949;Rio de Janeiro;30;2
950;Rio de Janeiro;19;3
951;Rio de Janeiro;14;1
952;Belém;34;2
953;São Paulo;30;2
954;Rio de Janeiro;15;3
955;Rio de Janeiro;48;1
956;Rio de Janeiro;43;2
957;São Paulo;49;3
958;Porto Alegre;31;2
959;Porto Alegre;15;2
960;Rio de Janeiro;41;1
961;Curitiba;12;2
962;Porto Alegre;49;3
963;Rio de Janeiro;20;5
964;Rio de Janeiro;36;2
965;Rio de Janeiro;17;1
966;Curitiba;37;1
967;Rio de Janeiro;40;3
968;Rio de Janeiro;25;1
969;Porto Alegre;11;2
970;Curitiba;41;1
971;São Paulo;46;2
972;Rio de Janeiro;35;1
973;Curitiba;20;2
974;Rio de Janeiro;26;1
975;Rio de Janeiro;17;1
976;Porto Alegre;27;1
977;Rio de Janeiro;16;1
978;Rio de Janeiro;24;1
979;Rio de Janeiro;12;1
980;Rio de Janeiro;17;1
981;Porto Alegre;17;1
982;São Paulo;33;2
983;Curitiba;11;1
984;São Paulo;27;2
985;Porto Alegre;16;1
986;Rio de Janeiro;27;2
987;Curitiba;29;1
988;São Paulo;36;1
989;Curitiba;12;2
990;Rio de Janeiro;28;1
991;Rio de Janeiro;26;1
992;Rio de Janeiro;36;1
993;São Paulo;42;5
994;Rio de Janeiro;23;1
995;Belém;46;4
996;Rio de Janeiro;22;2
997;Porto Alegre;48;5
998;São Paulo;39;3
999;Rio de Janeiro;33;1
1000;Rio de Janeiro;13;2
